Company,Focus Area,Specialty / Notable Technology,Why It Fits Me,Headquarters,Website,Contact / Networking Notes,Status
Boston Scientific,Medical Devices,"Cardiovascular, endoscopy, neuromodulation, urology",Focused on innovative surgical and implantable devices—ties closely to biomechanics and applied physiology,"Marlborough, MA",https://www.bostonscientific.com,,Interested
Arthrex,Orthopedic Devices / Sports Medicine,"Arthroscopy, orthobiologics, orthopedic implants","Deep alignment with sports medicine, human performance, and biomechanical design","Naples, FL",https://www.arthrex.com,,Interested
Medtronic,Medical Devices,"Cardiac, neuro, and diabetes technologies","Cross-disciplinary engineering company that merges electrical, mechanical, and biomedical design","Dublin, Ireland (HQ in Minneapolis, MN)",https://www.medtronic.com,,Interested
NeoGenomics,Diagnostics / Genomics,"Cancer diagnostics, molecular testing",Genetics + analytical chemistry focus; strong connection to translational science,"Fort Myers, FL",https://www.neogenomics.com,,Interested
GeneTech (Genentech),Biotech / Pharma,"Oncology, immunology, and rare diseases",Pioneering biotech firm applying molecular biology and genetic engineering; fits curiosity-driven research mindset,"South San Francisco, CA",https://www.gene.com,,Interested
Fresenius Medical Care,Healthcare / Medical Devices,"Dialysis systems, renal therapies, hospital products",Combines biomedical engineering and systems thinking—excellent for understanding complex clinical operations,"Bad Homburg, Germany",https://www.freseniusmedicalcare.com,,Interested
Zimmer Biomet,Orthopedic Devices,"Joint reconstruction, musculoskeletal health, robotic surgery","Perfect overlap with biomechanics, sports performance, and orthopedic innovation","Warsaw, IN",https://www.zimmerbiomet.com,,Interested
BD (Becton Dickinson),Diagnostics / Devices,"Medical instruments, lab automation, clinical supplies",Systems-level approach to diagnostics and instrumentation—ideal for applied engineering mindset,"Franklin Lakes, NJ",https://www.bd.com,,Interested
Intuitive Surgical,Surgical Robotics,da Vinci robotic surgical systems,"Deep integration of robotics, mechanics, and anatomy—perfect match for engineering + physiology interests","Sunnyvale, CA",https://www.intuitive.com,,Interested
GE HealthCare,Medical Imaging / Technology,"MRI, CT, ultrasound, patient monitoring",Engineering-heavy company applying advanced physics in imaging and health technology,"Chicago, IL",https://www.gehealthcare.com,,Interested
Siemens Healthineers,Medical Imaging / Diagnostics,"MRI, CT, and molecular imaging systems","Applied physics, robotics, and software for precision diagnostics; fits physics + biomedical integration","Erlangen, Germany",https://www.siemens-healthineers.com,,Interested
Philips Healthcare,Medical Imaging / Devices,"Imaging, patient monitoring, diagnostics","Focus on holistic human-centered innovation—blends engineering, design, and healthcare","Amsterdam, Netherlands",https://www.philips.com/healthcare,,Interested
Lee Health,Healthcare Network,"Hospital operations, clinical management, medical technology integration",Offers direct exposure to hospital systems and patient-centered biomedical applications,"Fort Myers, FL",https://www.leehealth.org,,Interested
Stryker,Medical Devices / Robotics,"Orthopedic implants, surgical robotics, trauma systems",Deep biomechanics connection—great fit for sports medicine and applied mechanical design,"Kalamazoo, MI",https://www.stryker.com,,Interested
Abbott Laboratories,Medical Devices / Diagnostics,"Cardiovascular devices, diabetes care, nutrition, lab testing","Strong scientific diversity; connects chemical, biological, and device engineering","Abbott Park, IL",https://www.abbott.com,,Interested
Pfizer,Biopharma,"Vaccines, oncology, immunology, small molecule drugs",Major player in applied chemistry and biology; great insight into biotech translation,"New York, NY",https://www.pfizer.com,,Interested
Amgen,Biotech / Therapeutics,"Genetic-based biologics, oncology, inflammation",Genetic engineering and molecular research leader; fits deep-science and chemistry interests,"Thousand Oaks, CA",https://www.amgen.com,,Interested
Twist Bioscience,Biotechnology / Genomics,"Synthetic DNA production, genomics tools",Innovator in molecular design and synthetic biology; merges chemistry with computation,"South San Francisco, CA",https://www.twistbioscience.com,,Interested
Biopharma (General),Biotech / Pharma,"Drug discovery, biologics, manufacturing",Broad space for interdisciplinary science and human performance translation,Global,,,Interested
